
	1	У хворої після підняття важкої сумки раптово з’явився гострий біль у попереку. Рухи в хребті обмежені. Не викликається ахілловий рефлекс зліва, з’явилась анестезія больової чутливості на зовнішній поверхні лівої гомілки. Яке захворювання запідозрите?
A	* Гострий гломерулонефрит.
B	Інфекційно-токсична нефропатія.
C	Хронічний гломерулонефрит.
D	Гострий пієлонефрит.
E	Інфаркт нирки


 	664	Хворий 43 роки скаржиться на біль в поперековій ділянці, набряки на обличчі та ногах. Хворіє 5 років. Об'єктивно: шкіра суха, бліда, набряки обличчя, ніг, передньої черевної стінки. Протеінурія 4 г/л, гематурія ер. 20-25 в п/з, гіалінові та епітеліальні циліндри 4-6 в препараті, гіпопротеїнемія, загальний білок крові 59 г/л., гіперхолестерінемія 8,3 ммоль/л.  Яка найбільш вірогідна патологія, що зумовлює таку картину?
A	* Хронічний гломерулонефрит, нефротична форма.
B	Хронічний гломерулонефрит, латентна форма.
C	Амілоїдоз нирок
D	Хронічний пієлонефрит.
E	Злоякісний гломерулонефрит.


 	665	Хворому на бронхіальну астму, який постійно приймає преднізолон в таблетках та інгаляції фарматерола у зв’язку з приєднанням бронхолегеневої інфекції були призначені ерітроміцин, бромгексин та теофіллін. На третій день лікування з’явився головний біль, серцебиття, зниження АТ, нудота та блювота. З токсичною дією якого препарата пов’язані ці симптоми?
A	* Теофіллін
B	Преднізолон
C	Ерітроміцин
D	Форматерол
E	Бромгексин


 	666	У хворого 49-ти років, з стабільною стенокардією ІІ ФК, раптово виник стенокардіотичний біль, який усунувся тільки 6 пігулками нітрогліцерину. Об'єктивно: АТ- 120/80 мм рт.ст., Ps- 104/хв., поодинокі екстрасистоли. На ЕКГ: рідкі лівошлуночкові екстрасистоли, депресія сегменту S-T у I, aVL та високі, гострокінцеві зубці T у V2, V3, V4 відведеннях. Який найбільш вірогідний діагноз?
A	* Нестабільна стенокардія
B	Стабільна стенокардія, ІІ ФК
C	Трансмуральний інфаркт міокарду
D	Стабільна стенокардія, ІV ФК
E	Стенокардія варіантна


 	667	Хворий 26 р., скаржиться на задишку в спокої, серцебиття, слабість, тупий тривалий біль в делянціі серця. Захворів через тиждень після перенесеного гострго бронхіту. ОБ-НО: положення ортопное. ЧД 26/хв., в легенях вологі хрипи у нижньо-задніх відділах. АТ-110/70 мм рт.ст. Пульс 112 за 1 хв., слабого наповнення і напруження. Межі серця розширені вліво і вправо, тони ослаблені. Нижній край печінки +2 см. На ЕКГ: синусова тахікардія, вольтаж знижений, дифузні зміни. Який найбільш імовірний діагноз?
A	*Гострий дифузний міокардит
B	Гостра пневмонія
C	Сухий фібрінозний перикардит
D	Інфаркт міокарду
E	Дилатаційна кардіоміопатія


 	668	Хворий К.,67 років, протягом останніх 4 років переніс два Q-інфаркти. Звернувся до лікаря  зі скаргами на загрудинний біль давлючого характеру, який ірадіює в ліву руку і ліву половину нижньої щелепи. Тривалість болю –3-5 хв., знімається прийомом нітрогліцерину. Біль виникає при ходьбі по рівній місцевості  в нормальному темпі на відстані до 200м, при підйомі на 1 поверх. Загрудинні  болі виникають і при вдиханні морозного повітря, при стресових ситуаціях. Вкажіть функціональний клас хворого приступом стенокардії.
A	* ІІІ
B	 I
C	ІV
D	ІІ
E	-


 	669	У хлопчика 15 р. останні 3 місяці спостерiгаються приступи судом жувальних м'язiв, рук з переважанням тонусу згиначiв. Судоми болючi, симетричнi. При обстеженнi позитивнi симптоми Хвостека, Труссо. Кальцій у крові 1.8 ммоль/л.  У хворого найбільш вірогідно:
A	*Гiпопаратиреоз
B	Епiлепсiя
C	Гiперпаратиреоз
D	Правець
E	Спазмофiлiя


 	670	Хвора К., 62 роки, поступила в прийомне відділення з нападом ядухи. 16 років хворіє на гіпертонічну хворобу, 3 роки назад перенесла інфаркт міокарду. Об’єктивно:ортопное, шкіряні покрови бліді, холодний піт,акроціаноз.АТ 230/130 мм рт.ст., пульс 108уд/хв.,ЧД-36 на хв. Аускультативно: розсіяні сухі хрипи на всьому протязі,в нижніх відділах вологі середньо-пухирцеві. Яке найбільш імовірне ускладнення розвинулося?
A	*Гостра лівошлуночкова недостатність
B	Гострий інфаркт міокарду
C	Приступ бронхіальної астми
D	Тромбоемболія легеневої артерії
E	Гостра правошлуночкова недостатність


 	671	Хворий Н., 45 років, поступив в травматологічне відділення з діагнозом: закрита черепно-мозкова травма, закритий перелом лівого стегна. При поступленні АТ110/70 мм рт.ст., пульс 114 уд/хв., ЧД-26 на хв. Після витягування стан різко погіршився:з’явився цианоз верхньої половини тулуба, задишка. Перкуторно - ясний легеневий звук. АТ-60/40мм рт.ст., ЧСС-156 уд.на хв. ЕКГ - правограма. Що є найбільш ймовірною причиною погіршення стану хворого?
A	*Емболія легеневої артерії
B	Інфаркт міокарда
C	Больовий шок
D	Пневмоторакс
E	Порушення зі сторони ЦНС


 	672	Хворий В., 57 років. На протязі року відмічає появу стискуючого болю в загрудинній делянці  під час емоційного напруження та перебування на холоді. Перкуторно - розширення границь серця вліво; аускультативно - тони ритмічні, ослаблені, систолічний шум на верхівці. Пульс 68 уд/хв., ритмічний, нормальної напруги. Поза нападом ЕКГ нормальна. Ваш діагноз:
A	*ІХС, стабільна стенокардія
B	Гострий інфаркт міокарду
C	Дилятаційна кардіоміопатія
D	ІХС, варіантна стенокардія
E	НЦД  з кардіалгією


 	673	Хворий К., скарги на задишку при фізичному навантаженні, ниючі болі в області серця, серцебиття. Аускультативно: на верхівці  - посилений I тон, діастолічний шум, за II  тоном  додатковий тон у діастолі через 0.10 сек. , акцент II тону над легеневою артерією. Артеріальний тиск 120/80 мм рт.ст., пульс - 78 уд/хв . Ваш попередній діагноз?
A	*Стеноз лівого атріо-вентрикулярного отвору
B	Недостатність мітрального клапану
C	Стеноз гирла аорти
D	Недостатність аортального клапану
E	Стеноз  трикуспідального клапану


 	674	Хворий Н., 64 роки, скаржиться на кашель з відходженням харкотиння, іноді кровохаркання. Палить 30 років. Похудав на 8 кг за останні 3 місяці. Рентгенологічно в середній долі правої легені порожнинне утворення, внутрішній контур нерівний, містить незначну кількість рідини, справа збільшені прикореневі лімфовузли. Яке дослідження найбільш інформативне для уточнення діагнозу?
A	*Бронхоскопія з біопсією
B	Аналіз харкотиння
C	Томографія легень
D	Бронхографія
E	Спірографія


 	675	Хворий 42 років скаржиться на слабкість проксимальних груп м'язів нижніх та верхніх кінцівок, м'язів  плечового поясу, тулуба, яка супроводжується спонтанними м'язевими болями, гарячкою.В аналізіх крові -підвищення сироваткової креатинкінази та альдолази, підвищений рівень СРБ, прискорена ШОЕ до 52 мм/год. Проведено біопсію стегнового м”язу  з гістологічним дослідженням матеріалу, котре виявило ознаки запальної інфільтрації скелетної мускулатури з дегенерацією та некрозом м”язевих фібрил. Який діагноз є найбільш вірогідним?
A	* Поліміозіт
B	Ревматична поліміалгія
C	Міастенія
D	Трихінельоз
E	Паліндромний ревматизм


 	676	У хворого 38 років спостерігається поєднання  поліневритичного синдромів на фоні виразної втрати ваги, пропасниці, підвищеного кров”яного тиску. В загальноклінічних аналізах - виразні прозапальні зміни. Яке дослідження є найбільш показаним для встановлення діагнозу?
A	* М”язева біопсія з гістологічним дослідженням матеріалу
B	Визначення  антинуклеарних антитіл
C	Електроміографія
D	Посів крові на гемокультуру
E	Визначення HLA антигенів


 	677	Чоловіка 32-х років протягом останнього року турбують болі в крижах та кульшових суглобах, болючість та скутість при рухах в поперековому відділі хребта. ШОЕ - 56	мм/год. Рентгенологічно виявлено ознаки двобічного  сакроілеїту.  Хворий є носієм антигену НLA В27.  Який діагноз є найбільш вірогідним?
A	* Анкілозуючий споділоартрит
B	Коксартроз
C	Ревматоїдний артрит
D	Хвороба Рейтера
E	Спондільоз


 	678	У хворого 46-ти років діагностовано стенокардію напруги ІІ функціонального класу на фоні гіпертонічної хвороби ІІ стадії. Артеріальний тиск в межах 160/105 мм рт.ст. Якому антигіпертензивному препарату надасте перевагу?
A	* Метопролол
B	Еналаприл
C	Доксазозин
D	Клофелін
E	Адельфан


 	679	При обстеженні хворого М.,74 років, у ІІ міжребер(ї справа виявлено систолічний шум та акцент ІІ тону, АТ  175/80 рт.ст. Вкажіть причину виявленого шуму.
A	* Аортосклероз.
B	Незарощення  міжшлункової перетинки
C	Коарктація аорти
D	Недостатність мітрального клапана
E	Стеноз гирла легеневої артерії


 	680	Хворий 25-ти років через 2 тижні після фарингіту почав скаржитись на підвищення температури до 38oC, загальну слабкість, задуху під час ходьби, припухлість і біль у суглобах летючого характеру. Об'єктивно: ціаноз губ, Ps- 100/хв., слабкого наповнення, ритмічний. Ліва межа серця зміщена зовні від медіаклявікулярної лінії на 1 см. І тон на верхівці послаблений, прослуховується ніжний систолічний шум. Який етіологічний фактор, що зумовив патологічний процес, найбільш вірогідний?
A	*βгемолітичний стрептокок
B	Стафілокок
C	Пневмокок
D	Вірус
E	Гриби


 	681	Жінка 26 років скаржиться на загальну слабкість, підвищену ламкість нігтів, випадіння волосся. Об’єктивно: пульс 94 уд.за хв, АТ – 110/70 мм.рт.ст.. Шкіра бліда. У крові: Нв – 90 г/л, Ер.- 3,5*1012/л, КП – 0,7, ШЗЕ – 20 мм/год. Сироваткове залізо – 8,7 мкмоль/л. Яке призначення доцільно зробити цій хворій?
A	*Препарати заліза per os.
B	Препарати заліза парентерально.
C	Вітамін В12 в/м.
D	Переливання цільної крові.
E	Переливання еритроцитарної маси.


 	682	Жінка 32 роки, скаржиться на біль у лівому підребер’ї, який з,являється через 2 години після їжи, нудоту, здуття живота, схильність до проносу.  Об’єктивно: Субіктеричність склер. Живіт болючий при пальпації точці Губергриця-Скульського. Печінка біля края реберної дуги  У крові амілаза - 288 ммоль/л, загальний  білірубін – 20 мкмоль/л. Яке захворювання найбільш ймовірно?
A	*Хронічний панкреатит.
B	Хронічний гепатит.
C	Хронічний ентероколіт
D	Хронічний холецистит.
E	Хронічний гастрит.


 	683	Хвора Г., 49 років, скаржиться  на сильний переймоподібний біль в правому підребер’ї з іррадіацією в праве плече,  невгамовну блювоту, що не приносила полегшення,  Об-но: стан середньої важкості. Склери субіктеричні. Пульс 92 за хв. Язик обкладений білим нашаруванням, сухий. В правому підребер’ї визначається болючість та резистентність м’язів. Артеріальний тиск – 115/60 мм.рт.ст. Яка тактика лікаря?
A	*Хірургічне лікування.
B	Консервативне лікування.
C	Жовчогінні препарати.
D	гепатопротектори
E	Антибіотики


 	684	Пацієнт 72 років, з дрібновогнищевим інфарктом міокарда в анамнезі, скаржиться на серцебиття, задуху при помірному фізичному навантаженні. Об’єктивно: ритм серцевої діяльності неправильний, ЧСС – 96/хв., тони серця послаблені, систолічний шум над аортою, ЧД - 16/хв. При ЕКГ-дослідженні виявлено: відсутність зубців Р у всіх відведеннях, різні відстані між R-R, хвилі найкраще виражені у V1. Про яке порушення ритму серцевої діяльності слід думати?
A	*Миготливу аритмію
B	Шлуночкову екстрасистолію
C	Передсердну екстрасистолію
D	Атріовентрикулярну блокаду
E	Неповну блокаду правої ніжки пучка Гіса


 	685	Хворий 46 рокiв, на протязi 5 рокiв  лiкується вiд гiпертонiчної хвороби. Батько хворiє на цукровий дiабет. Об'єктивно: зрiст 170см. Вага 96 кг. Пульс 72 / хв., АТ – 190/110 мм рт.ст. Печінка +3 см. Пастозність гомілок. Цукор крові натще 5,4 ммоль/л. Якi засоби первинної профiлактики цукрового дiабету у даного хворого?
A	* Позбавитись зайвої ваги.
B	Нормалiзувати артерiальний тиск.
C	Призначити бiгуанiди.
D	Призначити гепатопротектори.
E	Призначити сечогінні.


 	686	У хворого 26 років з післяопераційним гіпотеріозом, який отримував тіроксін 100 мкг 2	рази на день, з’явились тахікардія, пітливість, роздратованість, порушення сну. Визначте тактику подальшого лікування.
A	* Зменьшити дозу тироксину.
B	Збільшити дозу тироксину.
C	Призначити бета-адреноблокатори.
D	Додати до лікування мерказоліл.
E	Призначити седативні препарати.


 	687	До лікаря звернулась жінка 35-ти років з ураженням шкіри кістей і нижньої третини передпліччя у вигляді значного набряку, гіперемії, везикуляції, мокнуття. Захворювання розвилось після використання для прання білизни порошку “Лотос”, яким хвора користується на протязі місяця. Раніше дерматологічних захворювань не було. Який найбільш вірогідний діагноз?
A	* Алергічний дерматит
B	Простий дерматит
C	Токсикоалергічний дерматит
D	Мікробна екзем
E	Обмежений нейродерміт


 	688	Хворий 60 років скаржиться на біль за грудиною стискуючого характеру при ходьбі до 200	 м. Біль продовжується до 10 хв., супроводжується відчуттям нестачі повітря, пітливістю. Протягом останніх 2 тижнів біль з’явився в спокої, став частішим, перестав зніматись однією таблеткою нітрогліцерину. Який найбільш імовірний діагноз?
A	* ІХС. Прогресуюча стенокардія
B	ІХС. Дрібновогнищевий інфаркт міокарда
C	Варіантна стенокардія
D	 ІХС .Стабільна стенокардія IV ФК
E	ІХС. Стабільна стенокардія III ФК


 	689	Жінка 34 р. захворіла гостро, 3 місяці назад після гострої респіраторної інфекції. З‘явився біль в міжфалангових, а потім через 2 тижні в колінних суглобах, ранкова скутість, підвищилась температура тіла до 38оС. Суглоби міжфалангові, п‘ястно-фалангові, колінні набряклі, малорухомі, гарячі на дотик. В ан.крови:ШЗЕ-45 мм/год, СРБ+++, реакція Ваалер-Роузе-1:128. Про яке захворювання можна думати?
A	* Ревматоїдний артрит
B	Ревматичний поліартрит
C	Подагрична артропатія
D	Остеоартроз з реактивним синовітом
E	Реактивний поліартрит


 	690	Жінка 56 р. скаржиться на біль в променевозап‘ясних і колінних суглобах. Хворіє 8 років. Температура тіла нормальна. Міжфалангові суглоби рук потовщені і болючі при рухах, хруст в колінних суглобах при згинанні. Рентгенографія колінних суглобів: остеопороз, звуження суглобової щілини, незначні кісткові розростання по краям суглобів. Ан. крові: лейк.-6,2х109/л, ШЗЕ - 13 мм/год. Про яке захворювання можна думати в даному випадку?
A	* Деформуючий остеоартроз
B	Ревматичний поліартрит
C	Подагрична артропатія
D	Ревматоїдний артрит
E	Реактивний поліартрит.


 	691	У 12-річної дівчинки  після вживання двох твблеток аспірину  за 4-5 годин температура тіла підвищилася до 39-40оС Скаржиться на загальне нездужання, запаморочення, несподівану появу  червоних плям на шкірі з, утворенням  пухирів або відшаровуванням епідермісу з ерозуванням поверхні  Ураження на шкірі нагадували опіки другого ступеня. Симптом Нікольського - позитивний Який найбільш імовірний діагноз?
A	* Гострий епідермальний некроліз – синдром Лайєла.
B	Пухирчатка вульгарна.
C	Поліморфна ексудативна еритема.
D	Бульозний дерматит.
E	Герпетиформний дерматоз Дюринга.


 	692	Хворий 36 років поступив зі скаргами на кашель з виділенням слизово-гнійного харкотиння, підвищення температури тіля до 37,8оС, болі в правому боці при диханні. Перкуторно зправа в нижніх відділах легень притуплений перкуторний звук, аускультативно - послаблення везикулярного дихання та  крепітація, шум тертя плеври. Для якого патологічного стану характерні приведені дані?д
A	*Позалікарняна пневмонія
B	Ексудативний плеврит
C	Госпітальна пневмонія
D	Туберкульоз легень
E	Гострий бронхіт


 	693	У чоловіка 59 років, хворого на хронічний обструктивний броніхт, емфізему легень, з дихальною недостатністю ІІ-ІІІ ступеня,  є скарги на періодичні болі в ділянці серця.  АТ - 150/100 мм рт.ст. На ЕКГ зареєстровано різке відхилення електричної осі вправо з SІ=6 мм і  RІІІ=8 мм, QRS - 0,09 c, депресією ST ІІ-ІІІ= 1,5 мм і інверсією ТІІ-ІІІ- 1,5 мм, а також РІІ-ІІІ= 3 мм. Вкажіть Ваше трактування ЕКГ?
A	*Гіпертрофія правого шлуночка і правого передсердя.
B	Блокада лівої ніжки пучка Гіса.
C	Блокада правої ніжки пучка Гіса
D	Гіпертрофія лівого шлуночка і лівого передсердя..
E	Гіпетрофія правого і лівого шлуночка.


 	694	У хворого 47 років раптово з'явився різкий біль у лівій половині грудної клітки, що посилювався під час дихання, при кашлі та натужуванні. Температура тіла 37,20С, Нв-120 г/л, Le-6*109/л, п-2%, е-2%, с-67%, л-25%, м-4%, ШОЕ-20 мм/год. При ренгенологічному обстеженні відмічається обмеженість рухливості куполу діафрагми, зниження прозорості в області лівого синусу. Яка найбільш імовірна патологія зумовлює таку картину?
A	*Фібринозний плеврит.
B	Напад стенокардії.
C	Інфаркт міокарда.
D	Міжреберна невралгія.
E	Пневмонія


 	695	У женщины 28 лет, перенесшей 1,5 года назад лапороскопическую холецистэктомию появились боли в правом подреберье прежней интенсивности. Отметила ахолический стул, потемнение мочи. Какой метод наиболее показан для уточнения диагноза?
A	*Ретроградная холангиоография
B	Ультразвуковое исследование
C	Сцинтиграфия печени
D	Термография туловища
E	Єзофагогастродуоденоскопия


 	696	Хворий 60 років працює на фермі, де  худоба хворіє на лишаї. Скаржиться на нездужання,  головний біль, підвищення температури до 380С, “вузли” на волосистій частині голови. Об'єктивно: на шкірі  волосистой частини голови  декілька осередків ураження, різко відокремлених, поверхня яких вкрита гноячковими кірками, позитивний симптом “медових стільників”. Підщелепні та шийні лімфатичні вузли збільшені, болючі. Яка найбільш вірогідна патологія, що зумовлює таку картину?
A	* Глибока трихофітія
B	Фавус
C	Акантолітична пухирчатка
D	Себорея
E	Фурункул


 	697	Чоловік 58 років, що перебував одну добу в палаті інтенсивної терапіїз приводу інфаркту міокарда, раптово втратив свідомість. Об'єктивно: шкіра бліда, пульс на a.carotis відсутній, на ЕКГ - фібриляція шлуночків. Які заходи найбільш доцільно провести?
A	*Електроімпульсну терапію
B	Чрезстравохідну кардіостімуляцію
C	Вагусні проби
D	Введення внутрішньовенно лідокаїну
E	Введення  внутрішньосерцево адреналіну


 	698	У чоловіка 27 років, що хворіє на поліноз, 2 роки тому з’явилися напади експіраторної задишки. Приймає тайлед 4 рази на добу. При нападах задишки, що виникають 3-4 рази на тиждень додатково використовує сальбутамол. Який оптимальний варіант подальшого лікування хворого?
A	*Призначити інгаляційні кортикостероїди
B	Призначити кортикостероїди перорально
C	Розпочати специфічну імунотерапію
D	Замінити тайлед інталом
E	Продовжити ту ж саму терапію


 	699	У 23-річної жінки, яка 5 років хворіла на синдром Рейно, місяць тому з’явилися підвищення температури тіла до 38,5 – 39,2оС, біль у суглобах, гіперемія обличчя, схуднення, слабкість. У крові: лейкоцитів - 3,2*109/л, ШОЄ – 38 мм/год. Дослідження яких з імунологічних показників буде мати найбільшу діагностичну цінність?
A	*Антитіла до dsДНК.
B	Антитіла до фосфоліпідів.
C	Рівень імуноглобулінів сироватки крові.
D	Кількість Т-лімфоцитів.
E	Кількість Т-супресорів.


 	700	Жінка 32 років перенесла гостру форму вірусного гепатиту В. Протягом двох місяців при проведенні контролю виявляється висока концентрація HBV-ДНК. Яка тактика ведення хворої?
A	*Призначити препарати інтерферону
B	Призначити гепатопротектори
C	Призначити глюкокортікоїди
D	Призначити жовчогінні препарати
E	Призначити вітаміни групи В


 	701	Чоловік 58 років скаржиться на біль в правих кульшовому та колінному суглобах, хруст при рухах в них. Хворіє  4 роки. Об’єктивно: активні та пасивні рухи в уражених суглобах не в повному обсязі за рахунок больового синдрому. Правий колінний суглоб збільшений,  на його рентгенограмі звуження суглобової щілини, остеофіти. Який механізм розвитку захворювання є ведучим?
A	*Дегенерація хряща
B	Зміни властивостей суглобової рідини
C	Дія інфекційного агенту
D	Відкладення кристалів пірофосфату кальцію
E	Надмірне утворення імунних комплексів


 	702	Чоловік 28 років виписаний із стаціонару після перенесеної позагоспітальної пневмонії. Скарг не пред'являє. Об'єктивно: температура - 36,60С, ЧДР - 18/хв., пульс - 78/хв., АТ  - 120/80 мм рт.ст. При аускультації справа в нижніх відділах легенів – жорстке дихання. Рентгенологічно: інфільтративних змін немає, визначається посилення легеневого малюнка справа в нижній частці. Протягом якого часу дільничий лікар повинен спостерігати хворого?
A	*12 місяців
B	1 місяця
C	3 місяців
D	6 місяців
E	Постійно


 	703	Чоловік 38 років скаржиться на приступоподібний кашель з невеликою кількостю "іржавого" харкотиння, біль у правому боці, пов'язаний з глибоким диханням і кашлем. Занедужав гостро після переохолодження. Об'єктивно: температура - 39,2оС, ЧДР – 22/хв., пульс - 114 уд./хв., АТ - 110/70 мм рт.ст. Шкіра волога, гіперемія щік. При аускультації справа в нижніх відділах легенів - вологі звучні дрібнопухирчасті хрипи. Який збудник найбільш імовірно викликав захворювання пацієнта?
A	*Пневмокок.
B	Стафілокок.
C	Клебсієла.
D	Мікоплазма.
E	Ентерокок.


 	704	Чоловік 27 років знаходиться на лікуванні  у терапевтичному відділенні з приводу абсцедуючої пневмонії. Страждає на полінаркоманію. Об'єктивно: температура - 37,80С, ЧДР - 22/хв., пульс - 96/хв., АТ - 120/90 мм рт.ст. Рентгенологічно: справа округла тінь із горизонтальним рівнем рідини. Через який час від початку захворювання можна буде думати про хронізацію процесу?
A	* 2 місяці
B	1 місяць
C	3 місяці
D	6 місяців
E	12 місяців


 	705	Чоловік 32-х років скаржиться на печію та ниючий біль в надчерев'ї через 2-3 години після  прийому їжі. Загострення  - весною та восени. Харчова непереносимість яєць та риби. Об'єктивно: при пальпації живота - болісність у гастродуоденальній ділянці. ЕФГДС: виразка 5 мм на передній стінці дванадцятипалої кишки. Позитивний уреазний тест. Який  найбільш вірогідний ведучий механізм розвитку захворювання?
A	*Хелікобактерна інфекція
B	Харчова алергія
C	Продукція ауто-антитіл
D	Зниження синтезу простагландинів
E	Порушення моторики шлунка


 	706	Жінка 48-ми років скаржиться на слабкість, схуднення, зниження апетиту, головний біль. В юності перенесла гострий гломерулонефрит. З 25-ти років хворіє на артеріальну гіпертензією. Систематично не лікувалася, до лікаря зверталася рідко. Після проведеного  дослідження виявлені ознаки хронічної ниркової недостатності І ст. (креатінін - 0,43	ммоль/л). Які рекомендації щодо харчування найбільш виправдані для даної хворої?
A	*Обмеження білку
B	Обмеження жирів
C	Обмеження вуглеводнів
D	Вживання їжі з підвищенним вмістом "лужних" страв
E	Збільшення обсягу рідини


 	707	Чоловік 32 років відмічає загальну слабкість, лихоманку. Хворіє понад 2 місяців, хворобу пов'язує з ангіною.  Об'єктивно: температура - 38,90С, ЧДР - 24/хв., пульс - 110/хв., АТ  - 100/65 мм рт.ст. Шкіра бліда, геморагічний сип на кінцівках, збільшені пахвові лімфовузли. В крові: Нb - 70 г/л; ер. - 2,2*1012/л$; лейк. - 3,5*109/л; бластні клітини  - 32%; метамієлоцити - 1%; е -1%; п -3%; с - 35%; л - 20%; м - 8%; тромбоцити - 35*109/л; ШЗЕ - 47 мм/год. Яке захворювання найбільш вірогідно сприяло формуванню анемічного синдрому у даного хворого?
A	* Гострий лейкоз
B	Хронічний лімфолейкоз
C	Апластична анемія
D	 Хронічний мієлолейкоз
E	Тромбоцитопенічна пурпура


 	708	Хворий, 49 років, скаржиться на біль та набряк у 1 плюснофаланговому суглобі правої стопи, почервоніння шкіри над ним, підвищення температури тіла до 380С, що з’явились три дні тому. За останні 6 років було декілька нападів артриту, що тривали до 7-10 днів. В анамнезі – хронічний тонзиліт. При огляді: плюснефалангові суглоби правої стопи збільшені в об’ємі, дефігуровані, рухи в суглобах різко болючі. Інші суглоби без патологічних змін. ШЗЕ - 26 мм/год. Який механізм розвитку цього захворювання?
A	*Підвищення біосинтезу сечової кислоти
B	Імунна відповідь на стрептококкову інфекцію
C	Гіперпродукція аутоантитіл до коллагену
D	Зменшення кількості хондроїтинсульфату
E	Утворення антитіл до нативної ДНК


 	709	Жінка 32 років страждає на ревматоїдний артрит, суглобова форма, І ст. активності з порушенням функції суглобів І ст. Захворіла 1,5 роки тому після ангіни. Лікувалась нестероїдними протизапальними засобами. Стан хворої значно покращився. Яка подальша тактика ведення хворої?
A	*Санаторно-курортне лікування.
B	Проведення синовіектомії.
C	Призначення глюкокортикоїдів.
D	Пульстерапія цитостатиками.
E	Курс плазмофереза.


 	710	Жінка 50 років скаржиться на набряк кистей, зміну кольору шкірних покривів на обличчі та  грудях, ускладнення проходження їжі. Хворіє 5 років. Під час огляду: ніс загострений, симетричне потовщення, натяг та індурація шкіри пальців. Над легенями сухі хрипи; тони серця глухі, ритм неправильний, акцент II тону над легеневою артерією, ЧСС – 98/хв. У крові прискорена ШЗЕ, гіпергамаглобулінемія. Який найбільш вірогідний основний механізм розвитку захворювання?
A	*Порушення фіброутворення та мікроциркуляції
B	Утворення антитіл до міозитів
C	Утворення антитіл до РНК
D	Утворення антитіл к ендотеліальним клітинам
E	Утворення антитіл до нативної ДНК


 	711	Чоловік 60 років скаржиться на задишку з утрудненим видихом, що посилюється при фізичному навантаженні, кашель з невеликою кількістю слизово-гнійного харкотиння. Хворіє на хронічний обструктивний бронхіт. Об'єктивно: температура – 36,80С, ЧДР – 22/хв., пульс – 84/хв., АТ – 110/70 мм рт. ст. Шкіра волога, дифузний ціаноз. При аускультації дихання жорстке, розсіяні свистячі хрипи.  ОФВ - 62% від належного значення; фармакологічна проба з атровентом - приріст 5%. Який механізм розвитку незворотньої бронхіальної обструкції найбільш імовірний у хворого?
A	*Перибронхіальний фіброз
B	Запальний набряк
C	Бронхоспазм
D	Гіперкринія
E	Мукостаз


 	712	Чоловік 42 років, що працює на птахофермі, скаржиться на озноб, задишку, температуру тіла 39,60C, біль у лівій половині грудей. Два роки тому переніс інфаркт міокарда. При  обстеженні: ціаноз, ЧДР - 26/хв., ЧСС - 102/хв. Перкуторний звук над легенями не змінений, дихання везикулярне. Пастозність гомілок. На рентгенограмі - з обох боків на всьому протязі легень багато дрібних 2-3 мм вогнищевих тіней малої інтенсивності, які розташовані ланцюжком вздовж судин. ШЗЕ - 30 мм/год. Проба Манту з 2ТО - інфільтрат 15 мм. Який діагноз найбільш імовірний?
A	*Міліарний туберкульоз
B	Застійна пневмонія
C	Вогнищевий туберкульоз
D	Ідіопатичний альвеоліт
E	Підгострий дисемінований туберкульоз


 	713	У 36-летней пациентки небольшая желтуха, слабость, периодические головокружения, сердцебиения, селезёнка выступает на 2,5 см ниже рёбер. Моча цвета крепкого чая. Кал тёмно-коричневого цвета. В анализе крови нормохромная анемия с ретикулоцитозом 40:1000. В анализе мочи реакция на уробилин резко положительна, желчные пигменты отсутствуют.  Какое исследование необходимо произвести для установления диагноза?
